user;item;rating
0;452;4.0
0;453;4.0
0;454;4.0
0;456;2.0
0;457;2.0
0;463;1.0
0;464;2.0
0;465;4.0
0;467;4.0
0;469;3.0
0;471;4.0
0;475;2.0
0;481;4.0
0;482;4.0
0;485;5.0
0;492;4.0
0;498;5.0
0;500;2.0
0;504;4.0
0;512;4.0
0;514;4.0
0;515;2.0
0;517;3.0
0;519;5.0
0;525;5.0
0;527;5.0
0;531;1.0
0;538;2.0
0;541;4.0
0;545;2.0
0;547;4.0
0;559;2.0
0;560;3.0
0;561;4.0
0;566;4.0
0;567;2.0
0;571;4.0
0;575;2.0
0;576;2.0
0;580;1.0
0;581;5.0
0;589;4.0
0;591;5.0
0;592;3.0
0;593;3.0
0;594;5.0
0;598;3.0
0;599;5.0
0;600;4.0
0;604;3.0
0;605;5.0
0;606;5.0
0;610;4.0
0;614;1.0
0;616;3.0
0;621;5.0
0;622;4.0
0;632;5.0
0;633;4.0
0;634;4.0
0;641;4.0
0;646;4.0
0;650;5.0
0;656;4.0
0;658;4.0
0;664;2.0
0;665;2.0
0;668;3.0
0;672;3.0
0;674;4.0
0;679;4.0
0;680;3.0
0;681;4.0
0;684;2.0
0;685;4.0
0;687;2.0
0;690;3.0
0;691;5.0
0;697;2.0
0;699;5.0
0;700;4.0
0;705;3.0
0;708;4.0
0;711;4.0
0;713;2.0
0;717;3.0
0;720;3.0
0;721;1.0
0;722;5.0
0;726;4.0
0;730;4.0
0;731;5.0
0;734;4.0
0;739;4.0
0;742;3.0
0;745;1.0
0;746;2.0
0;752;3.0
0;756;4.0
0;759;4.0
0;763;5.0
0;765;4.0
0;770;3.0
0;773;5.0
0;779;4.0
0;788;4.0
0;790;4.0
0;792;4.0
0;795;4.0
0;800;3.0
0;804;4.0
0;806;4.0
0;811;4.0
0;812;3.0
0;815;4.0
0;822;2.0
0;823;3.0
0;824;3.0
0;825;3.0
0;835;4.0
0;839;2.0
0;848;4.0
0;850;4.0
0;854;2.0
0;861;1.0
0;862;4.0
0;874;4.0
0;876;4.0
0;885;4.0
0;887;4.0
0;895;4.0
0;896;2.0
0;897;3.0
0;900;4.0
0;906;4.0
0;907;5.0
0;915;3.0
0;935;5.0
0;939;5.0
0;945;3.0
0;947;4.0
0;951;2.0
0;954;5.0
0;964;4.0
0;965;5.0
0;970;4.0
0;978;3.0
0;979;4.0
0;982;1.0
0;995;4.0
0;1009;3.0
0;1011;5.0
0;1029;3.0
0;1033;5.0
0;1042;4.0
0;1055;4.0
0;1065;4.0
0;1067;4.0
0;1081;5.0
0;1082;4.0
0;1087;3.0
0;1116;4.0
0;1126;3.0
0;1128;4.0
0;1138;2.0
0;1175;5.0
0;1183;4.0
0;1194;4.0
0;1198;4.0
0;1217;3.0
0;1218;3.0
0;1227;2.0
0;1230;4.0
0;1247;2.0
0;1262;5.0
0;1266;3.0
0;1285;4.0
0;1335;5.0
1;484;5.0
1;490;3.0
1;514;3.0
1;574;2.0
1;582;5.0
1;584;3.0
1;630;4.0
1;637;4.0
1;660;1.0
1;688;3.0
1;903;5.0
1;916;3.0
1;963;1.0
2;456;4.0
2;465;5.0
2;467;4.0
2;469;4.0
2;470;5.0
2;482;4.0
2;486;3.0
2;493;5.0
2;495;4.0
2;498;4.0
2;502;5.0
2;508;3.0
2;514;4.0
2;515;2.0
2;516;5.0
2;518;5.0
2;524;5.0
2;527;4.0
2;545;5.0
2;546;3.0
2;555;3.0
2;558;5.0
2;566;4.0
2;573;5.0
2;575;4.0
2;578;5.0
2;586;5.0
2;595;4.0
2;597;3.0
2;598;3.0
2;605;3.0
2;606;4.0
2;610;3.0
2;616;3.0
2;618;5.0
2;620;5.0
2;630;4.0
2;633;5.0
2;637;3.0
2;659;2.0
2;681;4.0
2;682;4.0
2;684;4.0
2;685;5.0
2;708;3.0
2;712;3.0
2;719;4.0
2;721;4.0
2;722;3.0
2;736;4.0
2;738;2.0
2;745;5.0
2;747;4.0
2;756;4.0
2;763;4.0
2;764;5.0
2;795;4.0
2;810;4.0
2;843;4.0
2;862;3.0
2;872;3.0
2;877;5.0
2;898;4.0
2;903;4.0
2;907;5.0
2;916;2.0
2;933;4.0
2;934;5.0
2;936;3.0
2;962;1.0
2;1070;5.0
2;1084;5.0
2;1178;5.0
2;1494;3.0
3;448;4.0
3;449;4.0
3;452;3.0
3;454;4.0
3;456;3.0
3;458;3.0
3;463;4.0
3;464;1.0
3;465;3.0
3;466;2.0
3;467;3.0
3;469;5.0
3;470;4.0
3;474;4.0
3;475;3.0
3;477;2.0
3;480;4.0
3;481;2.0
3;482;4.0
3;483;3.0
3;485;4.0
3;486;3.0
3;489;4.0
3;490;4.0
3;491;3.0
3;492;2.0
3;495;3.0
3;498;4.0
3;499;4.0
3;501;2.0
3;502;4.0
3;503;3.0
3;507;3.0
3;509;4.0
3;510;2.0
3;512;3.0
3;513;4.0
3;515;3.0
3;517;3.0
3;518;4.0
3;523;3.0
3;525;3.0
3;526;3.0
3;527;5.0
3;528;2.0
3;529;3.0
3;531;2.0
3;532;3.0
3;537;3.0
3;541;3.0
3;542;4.0
3;544;4.0
3;545;2.0
3;546;2.0
3;547;2.0
3;550;2.0
3;551;2.0
3;552;4.0
3;556;3.0
3;558;4.0
3;559;3.0
3;560;3.0
3;561;5.0
3;564;3.0
3;566;4.0
3;568;1.0
3;569;2.0
3;570;3.0
3;571;2.0
3;573;3.0
3;578;3.0
3;579;4.0
3;581;2.0
3;585;3.0
3;586;5.0
3;594;3.0
3;595;3.0
3;597;3.0
3;599;2.0
3;600;3.0
3;602;4.0
3;604;3.0
3;605;5.0
3;606;3.0
3;612;1.0
3;615;4.0
3;616;4.0
3;617;1.0
3;618;4.0
3;620;3.0
3;621;4.0
3;622;4.0
3;623;2.0
3;627;4.0
3;628;5.0
3;629;3.0
3;631;4.0
3;632;4.0
3;633;4.0
3;636;4.0
3;637;3.0
3;638;4.0
3;644;3.0
3;646;4.0
3;655;3.0
3;657;2.0
3;659;2.0
3;660;2.0
3;661;2.0
3;662;2.0
3;664;1.0
3;666;1.0
